worker_id,vehicle_type,experience_days,avg_daily_orders,avg_daily_earnings,active_hours_per_day,zone_id,city,state,zone_type,season,rainfall_mm,aqi,temperature,humidity,order_volatility,earnings_volatility,recent_disruption_rate,risk_score,premium_inr
wkr_10018,bike,1331,12.8,385.03,11.3,zone_pune_urban,Pune,Maharashtra,urban,Monsoon,14.75,150.0,25.3,79.4,0.256,0.264,0.247,0.2587,27.76
wkr_10019,bike,757,30.7,1494.84,5.5,zone_hyderabad_urban,Hyderabad,Telangana,urban,Summer,4.72,107.0,35.9,48.8,0.222,0.24,0.045,0.1319,23.96
wkr_10020,bike,1467,16.5,860.76,9.8,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Winter,0.2,438.0,23.0,45.6,0.568,0.66,0.183,0.3767,31.3
wkr_10021,two_wheeler,1277,15.4,843.97,8.0,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,0.1,82.0,15.1,58.1,0.438,0.482,0.167,0.1245,23.73
wkr_10022,car,531,15.1,831.45,9.2,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Summer,1.59,94.0,36.9,21.7,0.233,0.252,0.142,0.1137,23.41
wkr_10023,bike,582,7.8,422.0,8.5,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Monsoon,33.58,84.0,31.6,100.0,0.264,0.224,0.05,0.2183,26.55
wkr_10024,car,479,14.6,1450.17,6.3,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,2.03,72.0,18.7,45.7,0.249,0.268,0.379,0.1853,25.56
wkr_10025,two_wheeler,499,8.2,583.64,12.3,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Monsoon,4.95,145.0,31.3,71.1,0.385,0.32,0.172,0.1974,25.92
wkr_10026,bike,578,19.8,998.31,11.8,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Monsoon,52.92,73.0,26.1,100.0,0.347,0.299,0.408,0.3415,30.25
wkr_10027,car,1500,14.4,857.31,10.7,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,4.0,100.0,34.7,39.8,0.372,0.388,0.381,0.2294,26.88
wkr_10028,car,1052,12.3,342.79,5.8,zone_hyderabad_urban,Hyderabad,Telangana,urban,Summer,2.96,153.0,38.7,35.6,0.441,0.39,0.248,0.2424,27.27
wkr_10029,bike,322,11.2,259.22,10.1,zone_pune_urban,Pune,Maharashtra,urban,Winter,0.43,152.0,19.4,58.1,0.206,0.245,0.12,0.0969,22.91
wkr_10030,two_wheeler,1179,13.5,300.99,7.8,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Summer,0.33,99.0,33.3,23.8,0.179,0.146,0.336,0.1716,25.15
wkr_10031,car,1227,11.0,545.54,6.9,zone_jaipur_dry,Jaipur,Rajasthan,dry,Monsoon,1.85,104.0,25.6,54.9,0.154,0.127,0.455,0.2123,26.37
wkr_10032,bike,771,16.3,410.62,6.8,zone_pune_urban,Pune,Maharashtra,urban,Winter,0.96,132.0,18.7,49.7,0.198,0.201,0.238,0.1599,24.8
wkr_10033,car,1040,10.5,606.07,6.4,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Summer,0.48,199.0,34.6,29.7,0.164,0.18,0.213,0.1583,24.75
wkr_10034,two_wheeler,343,10.6,576.93,7.6,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,8.61,47.0,37.7,46.7,0.233,0.194,0.094,0.101,23.03
wkr_10035,car,894,15.4,1533.91,4.0,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Summer,6.98,137.0,33.1,31.9,0.229,0.253,0.141,0.1509,24.53
wkr_10036,bike,811,13.4,611.22,6.0,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Summer,0.68,108.0,33.1,38.3,0.094,0.103,0.006,0.0872,22.62
wkr_10037,car,544,24.2,1611.06,6.6,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Monsoon,26.63,147.0,27.4,93.2,0.332,0.284,0.38,0.2994,28.98
wkr_10038,car,264,13.4,1021.82,9.2,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,0.18,158.0,43.6,10.0,0.078,0.075,0.238,0.1511,24.53
wkr_10039,bike,1342,12.5,754.2,9.8,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,0.99,83.0,16.2,58.8,0.255,0.229,0.28,0.1835,25.51
wkr_10040,bike,920,18.3,724.63,8.8,zone_hyderabad_urban,Hyderabad,Telangana,urban,Summer,0.27,136.0,33.1,45.4,0.12,0.108,0.361,0.1971,25.91
wkr_10041,two_wheeler,569,12.4,783.17,5.9,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Monsoon,79.47,73.0,29.1,99.5,0.415,0.403,0.148,0.3911,31.73
wkr_10042,car,247,15.5,1253.58,8.4,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,1.68,171.0,40.1,10.0,0.286,0.267,0.183,0.1967,25.9
wkr_10043,car,1069,10.9,783.56,4.0,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Monsoon,3.82,95.0,30.2,81.3,0.068,0.055,0.297,0.1085,23.25
wkr_10044,two_wheeler,795,14.6,1137.91,6.0,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Summer,0.18,150.0,33.5,32.4,0.304,0.247,0.528,0.3045,29.14
wkr_10045,car,31,21.9,1327.81,5.8,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Winter,0.17,90.0,19.0,63.0,0.273,0.244,0.097,0.113,23.39
wkr_10046,bike,69,14.5,650.13,7.7,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Monsoon,19.22,136.0,25.7,76.1,0.304,0.342,0.094,0.2394,27.18
wkr_10047,bike,520,10.9,451.92,5.5,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Monsoon,21.89,96.0,29.1,90.8,0.152,0.13,0.381,0.2563,27.69
wkr_10048,car,191,15.5,828.49,5.4,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Summer,0.25,49.0,32.2,63.2,0.325,0.379,0.386,0.1338,24.01
wkr_10049,bike,171,11.9,415.52,5.4,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Winter,0.92,57.0,22.4,54.1,0.067,0.073,0.14,0.0708,22.12
wkr_10050,two_wheeler,1381,7.4,256.9,9.2,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,0.16,69.0,40.5,11.3,0.401,0.365,0.122,0.0905,22.71
wkr_10051,two_wheeler,572,8.4,427.58,10.3,zone_ahmedabad_dry,Ahmedabad,Gujarat,dry,Winter,0.33,143.0,23.7,29.8,0.303,0.354,0.205,0.1784,25.35
wkr_10052,bike,463,20.6,1142.44,7.6,zone_jaipur_dry,Jaipur,Rajasthan,dry,Winter,0.01,88.0,18.2,32.6,0.198,0.221,0.187,0.1115,23.34
wkr_10053,car,441,7.6,599.8,10.1,zone_jaipur_dry,Jaipur,Rajasthan,dry,Winter,0.0,63.0,21.2,16.6,0.11,0.127,0.156,0.0532,21.59
wkr_10054,bike,1405,7.6,354.36,4.5,zone_indore_tier2,Indore,Madhya Pradesh,tier2,Monsoon,5.27,73.0,27.5,77.2,0.116,0.137,0.502,0.1817,25.45
wkr_10055,bike,1089,8.7,408.95,12.6,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Monsoon,42.9,115.0,31.9,75.8,0.29,0.238,0.193,0.2917,28.75
wkr_10056,two_wheeler,490,19.0,722.71,5.7,zone_ahmedabad_dry,Ahmedabad,Gujarat,dry,Summer,0.1,130.0,46.1,10.0,0.293,0.244,0.381,0.2261,26.78
wkr_10057,two_wheeler,1234,8.7,362.23,4.5,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Monsoon,54.53,65.0,30.1,94.6,0.569,0.636,0.258,0.3822,31.47
wkr_10058,car,481,17.1,1341.75,9.9,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,0.48,150.0,45.2,19.9,0.353,0.283,0.202,0.1965,25.9
wkr_10059,car,1322,15.1,800.2,5.0,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Summer,3.03,83.0,38.3,47.3,0.333,0.361,0.231,0.1638,24.91
wkr_10060,two_wheeler,94,11.5,510.74,8.3,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Summer,4.1,98.0,38.2,41.1,0.48,0.437,0.142,0.1463,24.39
wkr_10061,car,517,23.2,935.37,7.6,zone_hyderabad_urban,Hyderabad,Telangana,urban,Summer,2.13,118.0,32.8,40.4,0.193,0.23,0.362,0.2193,26.58
wkr_10062,bike,468,19.0,515.37,9.8,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Winter,1.05,132.0,17.1,40.6,0.27,0.298,0.158,0.1307,23.92
wkr_10063,car,1199,21.2,1322.01,8.6,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,0.46,119.0,37.2,10.0,0.363,0.347,0.422,0.2206,26.62
wkr_10064,two_wheeler,998,9.5,533.69,12.9,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Monsoon,22.7,54.0,29.9,91.5,0.398,0.407,0.148,0.1855,25.56
wkr_10065,two_wheeler,228,18.7,485.99,8.1,zone_pune_urban,Pune,Maharashtra,urban,Summer,1.68,177.0,36.0,24.0,0.121,0.131,0.264,0.1855,25.56
wkr_10066,bike,897,17.4,1113.13,6.8,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Monsoon,11.9,132.0,25.6,92.4,0.229,0.273,0.559,0.2611,27.83
wkr_10067,car,140,23.1,1138.52,6.9,zone_pune_urban,Pune,Maharashtra,urban,Monsoon,3.89,219.0,28.9,88.0,0.271,0.297,0.501,0.2869,28.61
wkr_10068,car,231,7.5,604.17,4.3,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,2.02,108.0,24.9,40.8,0.177,0.206,0.468,0.2153,26.46
wkr_10069,car,724,21.9,1040.06,5.5,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Monsoon,98.32,43.0,30.0,100.0,0.809,0.7,0.293,0.5676,37.03
wkr_10070,two_wheeler,419,19.0,832.49,7.8,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,7.0,47.0,39.7,38.5,0.188,0.203,0.086,0.0888,22.66
wkr_10071,two_wheeler,894,13.3,453.41,7.3,zone_jaipur_dry,Jaipur,Rajasthan,dry,Monsoon,1.93,157.0,30.2,58.9,0.262,0.213,0.341,0.2069,26.21
wkr_10072,bike,541,14.1,635.3,5.9,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Monsoon,85.56,97.0,25.3,93.4,0.626,0.578,0.443,0.5336,36.01
wkr_10073,car,230,16.4,993.41,9.3,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Monsoon,50.96,78.0,31.1,92.8,0.36,0.344,0.576,0.3998,32.0
wkr_10074,car,60,20.0,1499.13,8.6,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Winter,2.11,53.0,20.7,68.8,0.357,0.287,0.146,0.1263,23.79
wkr_10075,two_wheeler,862,7.8,359.36,5.8,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,1.19,56.0,39.0,44.0,0.415,0.336,0.326,0.1528,24.58
wkr_10076,two_wheeler,851,22.2,1124.88,4.9,zone_ahmedabad_dry,Ahmedabad,Gujarat,dry,Monsoon,5.03,175.0,29.3,63.4,0.392,0.354,0.056,0.1722,25.16
wkr_10077,bike,34,9.5,512.89,6.0,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Summer,1.88,49.0,37.4,46.5,0.392,0.402,0.108,0.1449,24.35
wkr_10078,bike,614,17.1,593.09,7.8,zone_pune_urban,Pune,Maharashtra,urban,Monsoon,25.65,204.0,31.7,85.0,0.17,0.189,0.269,0.2995,28.99
wkr_10079,car,1168,17.2,729.39,9.6,zone_pune_urban,Pune,Maharashtra,urban,Winter,0.98,143.0,21.7,41.9,0.249,0.259,0.096,0.1056,23.17
wkr_10080,bike,347,19.3,1001.22,8.5,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,1.19,90.0,24.9,42.7,0.376,0.342,0.042,0.1056,23.17
wkr_10081,two_wheeler,149,11.4,511.7,5.8,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Monsoon,1.05,270.0,25.5,83.0,0.06,0.072,0.436,0.2707,28.12
wkr_10082,car,154,10.7,609.89,11.9,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Winter,0.19,119.0,20.6,59.2,0.181,0.211,0.518,0.1924,25.77
wkr_10083,two_wheeler,132,5.0,302.88,6.9,zone_indore_tier2,Indore,Madhya Pradesh,tier2,Monsoon,11.65,134.0,31.9,93.2,0.311,0.254,0.486,0.2548,27.64
wkr_10084,car,1117,8.5,933.81,6.2,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Monsoon,7.59,95.0,28.9,77.6,0.302,0.256,0.159,0.1682,25.05
wkr_10085,car,194,20.8,1643.08,7.1,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Summer,3.12,36.0,40.7,57.2,0.236,0.27,0.093,0.0869,22.61
wkr_10086,car,169,22.0,1083.13,9.6,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Summer,0.32,35.0,37.0,45.6,0.604,0.638,0.226,0.1715,25.15
wkr_10087,bike,275,5.6,425.13,9.1,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Summer,3.04,96.0,33.5,21.8,0.196,0.197,0.259,0.1221,23.66
wkr_10088,car,1247,14.5,1048.03,9.8,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Summer,1.19,69.0,33.3,46.6,0.206,0.167,0.387,0.1631,24.89
wkr_10089,two_wheeler,888,11.0,413.44,9.7,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Winter,0.01,98.0,20.4,56.7,0.11,0.109,0.11,0.0657,21.97
wkr_10090,car,1100,19.4,1776.56,4.8,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,0.38,119.0,24.6,55.7,0.098,0.113,0.161,0.1035,23.1
wkr_10091,two_wheeler,1401,27.8,802.81,10.6,zone_hyderabad_urban,Hyderabad,Telangana,urban,Monsoon,20.06,152.0,28.6,73.8,0.126,0.14,0.24,0.2041,26.12
wkr_10092,two_wheeler,573,17.9,873.69,9.1,zone_indore_tier2,Indore,Madhya Pradesh,tier2,Monsoon,51.56,80.0,25.1,72.1,0.393,0.398,0.537,0.4246,32.74
wkr_10093,car,1351,24.6,1633.17,6.7,zone_pune_urban,Pune,Maharashtra,urban,Summer,2.76,194.0,38.0,37.5,0.311,0.325,0.138,0.1833,25.5
wkr_10094,bike,178,21.5,637.95,7.4,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Monsoon,28.11,209.0,30.7,91.5,0.458,0.467,0.42,0.3999,32.0
wkr_10095,car,1183,11.7,896.56,8.8,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Monsoon,174.13,51.0,26.5,100.0,0.521,0.468,0.51,0.5567,36.7
wkr_10096,car,466,10.7,812.54,7.6,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,2.64,43.0,34.0,52.8,0.115,0.107,0.402,0.1394,24.18
wkr_10097,two_wheeler,744,10.9,620.23,6.4,zone_jaipur_dry,Jaipur,Rajasthan,dry,Monsoon,1.49,143.0,31.2,63.6,0.498,0.412,0.079,0.2226,26.68
wkr_10098,bike,613,25.0,1171.92,11.1,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,3.27,88.0,38.0,53.0,0.271,0.265,0.129,0.1197,23.59
wkr_10099,car,1470,10.8,552.83,6.2,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Monsoon,65.71,59.0,29.2,100.0,0.216,0.189,0.42,0.369,31.07
wkr_10100,car,1113,17.4,788.14,5.7,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Winter,0.3,140.0,18.0,58.8,0.436,0.475,0.35,0.2229,26.69
wkr_10101,car,643,14.2,1031.15,4.0,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Winter,0.94,83.0,22.7,54.5,0.18,0.162,0.243,0.1507,24.52
wkr_10102,two_wheeler,571,19.5,789.75,6.4,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Summer,0.13,141.0,36.9,21.0,0.378,0.31,0.405,0.239,27.17
wkr_10103,car,1163,12.4,898.12,4.9,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Summer,2.12,70.0,41.8,39.7,0.208,0.21,0.266,0.134,24.02
wkr_10104,bike,1268,16.9,548.35,8.3,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Monsoon,146.64,77.0,28.2,100.0,0.525,0.431,0.285,0.5259,35.78
wkr_10105,bike,446,11.5,457.12,9.2,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Winter,0.23,469.0,22.6,50.4,0.404,0.41,0.285,0.3526,30.58
wkr_10106,bike,1065,12.0,744.21,6.1,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,1.49,146.0,23.2,47.6,0.412,0.481,0.363,0.2067,26.2
wkr_10107,two_wheeler,219,19.9,865.28,8.2,zone_ahmedabad_dry,Ahmedabad,Gujarat,dry,Monsoon,0.97,77.0,31.0,62.9,0.305,0.295,0.367,0.2076,26.23
wkr_10108,bike,120,14.1,967.77,5.9,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Monsoon,0.19,106.0,28.0,74.1,0.123,0.125,0.416,0.1559,24.68
wkr_10109,two_wheeler,1334,21.6,1039.47,10.3,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Monsoon,66.24,80.0,27.5,95.7,0.332,0.378,0.309,0.407,32.21
wkr_10110,car,934,15.5,737.89,8.0,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Summer,0.14,104.0,35.3,40.6,0.183,0.162,0.216,0.1729,25.19
wkr_10111,bike,1178,15.9,892.45,9.0,zone_jaipur_dry,Jaipur,Rajasthan,dry,Winter,0.22,169.0,22.7,36.9,0.433,0.516,0.199,0.1962,25.89
wkr_10112,two_wheeler,1445,13.9,851.85,6.1,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Summer,2.8,31.0,34.9,65.4,0.358,0.321,0.319,0.1958,25.87
wkr_10113,two_wheeler,786,13.5,579.03,8.0,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Winter,0.36,33.0,21.0,63.4,0.235,0.243,0.203,0.0891,22.67
wkr_10114,two_wheeler,910,13.7,615.82,8.1,zone_coimbatore_tier2,Coimbatore,Tamil Nadu,tier2,Winter,1.11,133.0,15.9,58.2,0.467,0.541,0.317,0.2126,26.38
wkr_10115,bike,776,9.4,461.73,12.2,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Summer,0.54,37.0,37.9,56.2,0.333,0.33,0.107,0.0937,22.81
wkr_10116,two_wheeler,1426,5.0,197.36,7.6,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Monsoon,60.45,70.0,29.3,92.2,0.408,0.409,0.221,0.3684,31.05
wkr_10117,two_wheeler,754,20.4,1144.88,8.0,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Winter,0.32,349.0,24.9,42.6,0.085,0.095,0.176,0.2351,27.05
wkr_10118,car,346,11.5,665.99,6.8,zone_jaipur_dry,Jaipur,Rajasthan,dry,Monsoon,0.39,150.0,28.2,57.9,0.265,0.213,0.287,0.216,26.48
wkr_10119,two_wheeler,874,16.2,860.28,9.4,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Summer,0.26,285.0,42.9,41.7,0.489,0.415,0.14,0.2128,26.38
wkr_10120,car,710,19.3,1494.29,9.5,zone_chennai_coastal,Chennai,Tamil Nadu,coastal,Summer,2.24,51.0,38.9,45.7,0.22,0.228,0.262,0.1484,24.45
wkr_10121,car,538,11.7,479.06,10.6,zone_pune_urban,Pune,Maharashtra,urban,Winter,0.18,140.0,21.9,47.5,0.062,0.057,0.142,0.1348,24.04
wkr_10122,car,251,13.8,737.14,11.2,zone_bengaluru_urban,Bengaluru,Karnataka,urban,Summer,0.3,148.0,36.5,40.6,0.272,0.22,0.138,0.1429,24.29
wkr_10123,bike,485,28.0,889.32,7.5,zone_pune_urban,Pune,Maharashtra,urban,Summer,6.24,124.0,41.0,23.5,0.165,0.142,0.207,0.195,25.85
wkr_10124,bike,655,18.2,786.06,12.5,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Monsoon,3.25,159.0,27.1,76.5,0.218,0.209,0.49,0.2276,26.83
wkr_10125,two_wheeler,1381,24.8,1325.91,10.2,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Summer,0.08,221.0,37.6,31.9,0.36,0.327,0.248,0.2244,26.73
wkr_10126,bike,600,14.9,834.83,5.7,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Monsoon,5.05,180.0,29.1,79.4,0.022,0.023,0.278,0.174,25.22
wkr_10127,bike,1343,14.0,793.83,10.3,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Monsoon,93.48,63.0,25.4,100.0,0.404,0.357,0.327,0.4905,34.72
wkr_10128,car,1128,19.3,821.48,6.9,zone_jaipur_dry,Jaipur,Rajasthan,dry,Monsoon,4.05,150.0,30.2,73.7,0.159,0.154,0.241,0.1601,24.8
wkr_10129,two_wheeler,564,16.0,658.65,7.7,zone_hyderabad_urban,Hyderabad,Telangana,urban,Summer,6.21,153.0,41.5,22.2,0.305,0.278,0.208,0.1808,25.42
wkr_10130,bike,108,14.0,556.25,9.7,zone_kolkata_coastal,Kolkata,West Bengal,coastal,Winter,1.02,72.0,19.8,64.3,0.255,0.277,0.5,0.1932,25.8
wkr_10131,bike,737,17.5,816.34,9.0,zone_mumbai_coastal,Mumbai,Maharashtra,coastal,Winter,1.49,65.0,20.2,55.6,0.097,0.079,0.148,0.1083,23.25
wkr_10132,bike,1271,7.7,353.96,5.9,zone_indore_tier2,Indore,Madhya Pradesh,tier2,Monsoon,27.75,81.0,27.5,76.8,0.428,0.451,0.417,0.3459,30.38
wkr_10133,bike,1210,10.9,545.81,9.0,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,1.2,73.0,46.2,17.3,0.205,0.181,0.207,0.0948,22.85
wkr_10134,two_wheeler,1481,21.2,1293.01,5.2,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Monsoon,9.59,282.0,26.5,86.4,0.393,0.416,0.193,0.298,28.94
wkr_10135,car,1132,16.2,563.76,11.1,zone_pune_urban,Pune,Maharashtra,urban,Summer,0.92,88.0,40.9,28.6,0.306,0.31,0.288,0.1636,24.91
wkr_10136,car,1403,14.7,1128.63,8.0,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Winter,1.49,127.0,21.8,46.2,0.215,0.202,0.235,0.145,24.35
wkr_10137,bike,173,8.2,488.18,10.0,zone_delhi_pollution_heavy,Delhi,Delhi,pollution_heavy,Monsoon,34.32,267.0,30.9,70.6,0.516,0.424,0.21,0.3945,31.84
wkr_10138,car,672,11.0,719.05,8.1,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Monsoon,14.61,128.0,26.4,73.5,0.343,0.4,0.165,0.2249,26.75
wkr_10139,car,645,2.8,462.14,7.5,zone_lucknow_tier2,Lucknow,Uttar Pradesh,tier2,Summer,0.32,51.0,39.1,21.9,0.06,0.049,0.06,0.0672,22.01
wkr_10140,car,866,25.9,1560.92,6.8,zone_jaipur_dry,Jaipur,Rajasthan,dry,Monsoon,1.77,66.0,25.3,56.0,0.512,0.531,0.048,0.1373,24.12
wkr_10141,car,635,16.7,972.73,8.4,zone_hyderabad_urban,Hyderabad,Telangana,urban,Monsoon,35.77,212.0,26.3,89.8,0.456,0.482,0.28,0.3506,30.52
wkr_10142,two_wheeler,891,22.4,1109.0,8.9,zone_jaipur_dry,Jaipur,Rajasthan,dry,Summer,0.18,136.0,36.3,10.0,0.233,0.248,0.212,0.1552,24.66
